"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9"
"2-KG_0.0",754968.265490743,889000.094964084,959959.416914523,533977.283811415,616974.623575315,580975.80061782,710969.520707668,988957.923235742,560976.061669385
"2-KG_1.0",20924.8264464917,22822.7141231468,23568.6536715642,12793.1887128762,9929.95708179243,11257.3828318145,15658.3469473482,24046.5611218709,19272.6196589022
"2-KG_1.1",286694.241275206,461472.885849855,386339.633787133,228076.38309886,181933.062695075,199995.23100953,326770.170637443,423289.40277405,247029.660666483
"2-KG_2.1",35444.6479937364,69108.0569702272,39263.9230614213,29903.5641826755,7803.52849187708,9347.53460949069,33523.2206632333,34534.9139103907,21477.9586235291
"2-KG_2.2",0,559702.395173916,0,0,0,0,0,0,0
"2-KG_3.2",79606.1630263069,193309.363424192,110782.206325177,79066.9379614428,30022.2281203546,29911.5360540595,115842.092177985,102787.19856031,43441.3066878666
"2-KG_3.3",333224.958010823,904179.214058101,474608.411382519,372588.118682832,121872.702521207,113761.648644704,488979.208060359,493380.275950032,161471.648494987
"2-KG_4.3",35289.2982300927,120549.846176523,64603.9878915675,54294.7469016309,9276.51909458302,9733.27243792024,75120.0923453637,45232.4030328338,8698.596908685
"2-KG_4.4",0,0,0,0,0,0,6098.30991774067,0,0
"2-KG_5.4",819447.508123356,2678596.24610747,1289204.65957968,1219418.28439208,182798.584445623,170798.463671446,1769150.87976079,1039287.2436277,285716.549666106
"Cit_0.0",1290000,1320000,1610000,1270000,2640000,1040000,1210000,1940000,1410000
"Cit_1.0",74540.9554006199,87581.4427355223,91006.1536395361,82980.6305106916,60562.8854710326,41336.8942764717,73899.655840888,114151.514323413,61502.9047402133
"Cit_1.1",627080.716550467,780036.082051638,720604.615229652,602110.472883015,409072.164103278,275452.670707354,601199.741880666,827113.635742556,424902.178555163
"Cit_2.1",180641.314515484,298318.398069577,271430.344302451,242678.351714108,77590.6025090814,66888.998006924,237693.846294725,276183.646411108,94461.431355734
"Cit_2.2",457113.072119728,746700.527077537,627000.853642868,660273.540267536,177113.531093387,150177.692724087,596644.846280513,717807.657183786,223673.974685787
"Cit_3.2",248347.200418983,359516.423709906,290769.395098363,322800.16054383,90626.2891640381,71134.1547245145,398990.528855604,360435.122967731,94218.0259817241
"Cit_3.3",321444.610895816,515070.453274742,384613.011012124,397296.444634495,112196.19459792,74171.0663055419,437397.137332037,423818.936566665,103037.709170859
"Cit_4.3",377869.484661096,891591.584661604,581119.50394652,789225.378220289,104158.207506065,95730.4920046014,682063.466385304,597907.037806259,163066.688041692
"Cit_4.4",305682.636453698,724607.580006152,419536.458562882,625317.549596135,82304.7794906816,76048.6184620587,533650.978469167,501913.318604467,107446.795759257
"Cit_5.4",561291.370362198,812005.464001016,620498.442684933,548582.966647363,158119.104857063,130265.040345555,868455.280090845,601878.940098891,158958.799304249
"Cit_5.5",6362.15716548201,13131.0918042995,6990.93250142169,14907.8379710873,1589.36950139292,1315.0114008683,14997.4118933666,8624.66395067361,2357.91436369975
"Cit_6.5",45813.5545851669,103253.714547859,39468.455783205,83675.9836883543,7336.14158548134,6580.84750217813,96459.9631151051,54888.1456428328,8709.94534440968
"Fum_0.0",318000.000000004,290000.000000001,399000.000000001,201999.999999996,269000.002048173,238000.001635487,248000.000000001,335000.000000003,243000.002182844
"Fum_1.0",34957.7312870312,40679.0631233854,42096.0213318384,21846.1060376687,19595.0619990993,14418.6793896715,32811.060877934,30544.7798149467,15814.8701327678
"Fum_1.1",117648.008668927,120679.001616319,126558.350499692,65176.4080224027,61200.8698714269,48535.4608337156,113725.4910374,24429.1915222974,63129.5585371499
"Fum_2.1",90571.4071493752,140862.788704889,123856.649178838,79225.9936673895,30031.4575964422,28646.8625878479,115876.830684678,95447.2963465837,24734.1944081888
"Fum_2.2",195562.658173985,230674.395373172,207219.850167956,115097.548966825,74626.1795327474,60767.6969511835,114854.730418209,224595.96384793,87430.8916144831
"Fum_3.2",32405.9711410727,83400.1221068857,51230.6443146619,36534.1337144639,7068.46617732892,8991.9418181893,67748.4945002754,46796.6195255128,9770.19240992252
"Fum_3.3",49199.0001548971,66247.7601343244,60849.2298536105,50804.0934684453,0,0,50704.66714506,42749.9826095445,0
"Fum_4.3",281553.721564141,569277.512419255,422387.132923096,361594.835436637,75568.4199647172,74672.0490387574,497409.524760376,309522.944415817,102887.198004238
"Lac_0.0",244998.954884696,335998.56737065,220999.054336601,119999.48619877,46599.8010413254,77199.6696092708,197999.152550164,247998.939505458,58399.7507504986
"Lac_1.0",3386.99098746401,3276.73049642693,2400.79595485736,1900.97517942001,554.774781079562,1133.42736527174,2713.60904572967,3284.01536946122,823.069118601603
"Lac_1.1",7091.7699824563,9275.57049848129,8359.22821749591,4752.70299209961,1466.09798552224,2953.83897947663,7625.96005057337,8909.58666368872,1777.51335334499
"Lac_2.1",665.330576985934,2058.17903315562,1239.8066383505,485.819449674497,0,684.191734786995,1470.32342078773,1418.60012159786,0
"Lac_2.2",0,0,0,0,0,0,0,0,0
"Lac_3.2",3242.05163845636,5891.08000957246,3983.70939249441,4755.49245685119,0,1247.01442420781,5812.9465755257,2651.70899840624,0
"Mal_0.0",671000.000000004,531000.000000001,655000.000000004,371999.999999998,471000,653000.000000004,519000.000000001,568000.000000002,506000.000000001
"Mal_1.1",271746.073932216,281007.697850982,326775.973808648,169304.827872999,130119.822387589,179779.711293203,288030.122758298,235938.55438674,140054.416407905
"Mal_2.2",350975.610119722,422109.300013622,430004.315988712,292625.248172403,105884.555200741,131295.456940184,469194.833838345,303889.330435706,143578.240634372
"Mal_3.3",119101.7747845,218894.412812029,165501.862776393,153056.68483218,28426.6003272107,41368.6137381811,232748.834603643,139485.414897187,29974.0561236997
"Mal_4.4",537871.589684191,914103.717742537,709134.884841473,652296.687889079,143062.832071094,177824.514480943,1095690.93606553,485223.661285028,178749.036682564
"Suc_0.0",303000.000000005,655000.000000005,608999.999999997,130999.923965362,395000.000000001,1650000,414999.017379163,251000.000000002,160997.120907693
"Suc_1.0",35369.1590565122,35900.9873993801,48736.0325591202,0,9999.06873703488,28942.945357221,0,15208.775324041,7897.34413435666
"Suc_1.1",72794.9140183292,185124.31908252,176185.817284365,99724.805934489,38571.9176146557,100794.086238417,0,69464.4337247486,29083.823372683
"Suc_2.1",60196.946839669,153810.299002596,99199.996268679,0,13756.8436849344,17882.8349880746,0,55826.4899025106,20467.1203735993
"Suc_2.2",58457.1362716157,102059.993757361,78761.0361235872,24528.17441847,12424.704937342,15882.5870607533,50094.0623902467,52875.3453927538,0
"Suc_3.2",8888.57084474591,25466.7956554965,14204.9475709886,7380.80134727456,1479.76293302937,2399.7460709575,12060.5361027272,10121.7058675659,1529.63969098223
"Suc_3.3",3321.41885937506,6289.98959459585,3828.06264052925,1946.75410656035,1193.27950681028,1207.94872494321,6431.39779631304,3742.77618139069,1149.81247068925
"Suc_4.3",225737.707139389,490328.065805087,277569.485742178,158988.311653414,41540.3883599581,49121.9099435703,106978.924025614,202753.79866104,30812.8221689295
